Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Kevin Durant,22,OKC,SF,78,78,3038,711,1538,.462,145,414,.350,566,1124,.504,.509,594,675,.880,57,476,533,214,88,76,218,159,2161,0,MVP-5ASNBA1,duranke01
2,LeBron James,26,MIA,SF,79,79,3063,758,1485,.510,92,279,.330,666,1206,.552,.541,503,663,.759,80,510,590,554,124,50,284,163,2111,4,MVP-3DPOY-9ASNBA1DEF1,jamesle01
3,Kobe Bryant,32,LAL,SG,82,82,2779,740,1639,.451,115,356,.323,625,1283,.487,.487,483,583,.828,83,336,419,388,99,12,243,172,2078,1,MVP-4DPOY-11ASNBA1DEF1,bryanko01
4,Derrick Rose,22,CHI,PG,81,81,3026,711,1597,.445,128,385,.332,583,1212,.481,.485,476,555,.858,81,249,330,623,85,51,278,136,2026,1,MVP-1ASNBA1,rosede01
5,Amar'e Stoudemire,28,NYK,C,78,78,2870,744,1482,.502,10,23,.435,734,1459,.503,.505,473,597,.792,198,438,636,202,71,150,250,274,1971,0,MVP-9ASNBA2,stoudam01
6,Carmelo Anthony,26,2TM,SF,77,77,2751,684,1503,.455,95,251,.378,589,1252,.470,.487,507,605,.838,118,445,563,221,68,46,206,224,1970,0,AS,anthoca01
6,Carmelo Anthony,26,DEN,SF,50,50,1774,437,967,.452,42,126,.333,395,841,.470,.474,343,417,.823,77,305,382,140,43,31,142,134,1259,0,,anthoca01
6,Carmelo Anthony,26,NYK,SF,27,27,977,247,536,.461,53,125,.424,194,411,.472,.510,164,188,.872,41,140,181,81,25,15,64,90,711,0,,anthoca01
7,Dwyane Wade,29,MIA,SG,76,76,2823,692,1384,.500,63,206,.306,629,1178,.534,.523,494,652,.758,123,362,485,346,111,87,237,197,1941,1,MVP-7DPOY-16ASNBA2,wadedw01
8,Monta Ellis,25,GSW,SG,80,80,3227,726,1611,.451,137,379,.361,589,1232,.478,.493,340,431,.789,44,237,281,450,168,23,252,203,1929,0,,ellismo01
