Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Trae Young,23,ATL,PG,76,76,2652,711,1544,.460,233,610,.382,478,934,.512,.536,500,553,.904,50,234,284,737,72,7,303,128,2155,0,ASNBA3,youngtr01
2,DeMar DeRozan,32,CHI,PF,76,76,2743,774,1535,.504,50,142,.352,724,1393,.520,.521,520,593,.877,56,336,392,374,68,24,181,178,2118,0,MVP-10ASNBA2,derozde01
3,Joel Embiid,27,PHI,C,68,68,2297,666,1334,.499,93,251,.371,573,1083,.529,.534,654,803,.814,146,650,796,284,77,99,214,181,2079,2,MVP-2ASNBA2,embiijo01
4,Jayson Tatum,23,BOS,SF,76,76,2731,708,1564,.453,230,651,.353,478,913,.524,.526,400,469,.853,85,524,609,334,75,49,217,174,2046,0,MVP-6ASNBA1,tatumja01
5,Nikola Jokić,26,DEN,C,74,74,2476,764,1311,.583,97,288,.337,667,1023,.652,.620,379,468,.810,206,813,1019,584,109,63,281,191,2004,19,MVP-1ASNBA1,jokicni01
6,Giannis Antetokounmpo,27,MIL,PF,67,67,2204,689,1245,.553,71,242,.293,618,1003,.616,.582,553,766,.722,134,644,778,388,72,91,219,212,2002,4,MVP-3DPOY-6ASNBA1DEF1,antetgi01
7,Luka Dončić,22,DAL,PG,65,65,2301,641,1403,.457,201,569,.353,440,834,.528,.529,364,489,.744,56,537,593,568,75,36,292,145,1847,10,MVP-5ASNBA1,doncilu01
8,Devin Booker,25,PHO,SG,68,68,2345,662,1421,.466,183,478,.383,479,943,.508,.530,315,363,.868,45,297,342,329,77,26,162,180,1822,0,MVP-4ASNBA1,bookede01
9,Karl-Anthony Towns,26,MIN,C,74,74,2476,642,1214,.529,150,366,.410,492,848,.580,.591,384,467,.822,194,533,727,269,72,83,226,267,1818,1,ASNBA3,townska01
10,Donovan Mitchell,25,UTA,SG,67,67,2266,617,1376,.448,232,654,.355,385,722,.533,.533,267,313,.853,55,227,282,358,99,12,200,164,1733,0,AS,mitchdo01
